Rank,Name,website,Country,Sector,Absolute growth rate (%),Compound annual growth rate (%),Revenue 2024 (€),Revenue 2021 (€),Employees 2024,Employees 2021,Founding year,linkedin_company_profile
475,R&K Ingenieure,rki-holding.de,Germany,Construction & Engineering,192.5,43,"19,950,847","6,819,843",67,35,2016,
346,Revizto,revizto.com,Switzerland,Construction & Engineering,276.6,55.6,"38,791,029","9,447,289",200,67,2008,https://www.linkedin.com/company/revizto
86,Safer Roadworks,safer-roadworks.co.uk,UK,Construction & Engineering,969.6,120.3,17966689,1657521,363,30,2021,https://uk.linkedin.com/company/safer-roadworks-limited
302,Saico,saicosrl.com,Italy,Construction & Engineering,309.6,60,"24,476,057","5,975,789",36,27,2013,https://ir.linkedin.com/company/saico?trk=ppro_cprof
625,SATROtec,satrotec.de,Germany,Construction & Engineering,132.8,32.5,"2,281,584","980,118",32,19,2011,
632,Scheumar Baumanufaktur,scheumar.de,Germany,Construction & Engineering,129.4,31.9,"6,072,872","2,647,836",36,29,2008,
326,Schmabo,schmabo.de,Germany,Construction & Engineering,291.1,57.6,"7,900,000","2,020,000",37,5,2010,
883,Schwegler Solutions,schwegler-solutions.com,Germany,Construction & Engineering,77.1,21,"9,350,000","5,281,000",37,35,2009,
593,Seingim,seingim.it,Italy,Construction & Engineering,145.1,34.8,"44,441,038","18,134,646",420,228,1999,https://sa.linkedin.com/company/seingim-global-services-for-projects-engineering-l-l-c
425,Sertec Engineering Consulting,sertec-engineering.com,Italy,Construction & Engineering,222.6,47.8,"5,802,961","1,798,723",25,13,1968,https://www.linkedin.com/company/sertec-engineering-consulting/
655,Speri,sperispa.com,Italy,Construction & Engineering,124.1,30.9,"31,035,269","13,847,303",57,16,1974,https://it.linkedin.com/company/speri-architecture-engineering
777,Stadtgrün Ruhr,stadtgruen.ruhr,Germany,Construction & Engineering,96.8,25.3,"9,085,224","4,616,027",50,38,2016,
862,Storingservice.nl,storingservice.nl,Netherlands,Construction & Engineering,81,21.9,"4,571,351","2,525,129",4,0,2016,
706,Strotmann Baustoffe,strotmann-baustoffe.de,Germany,Construction & Engineering,109.6,28,"4,816,228","2,298,147",32,15,1967,
622,SVS,svs-srl.com,Italy,Construction & Engineering,133.1,32.6,"42,523,567","18,244,497",24,19,2016,https://in.linkedin.com/company/svs-construction
847,Tecnologie Edili,tecnologiedili.it,Italy,Construction & Engineering,83.8,22.5,"2,484,444","1,351,771",17,11,2008,
887,Vennes,vennes.eu,Germany,Construction & Engineering,76.8,20.9,"36,057,108","20,394,076",79,64,1993,
495,Vey Versorgungstechnik,vey.koeln,Germany,Construction & Engineering,183.4,41.5,"11,530,327","4,067,972",85,40,1955,
431,VST Fire Solutions,vst-fs.nl,Netherlands,Construction & Engineering,216.1,46.8,"28,062,573","8,878,784",5,4,2019,
822,247Group,247group.de,Germany,Ecommerce,89.2,23.7,"12,793,332","6,761,255",35,20,2016,https://de.linkedin.com/company/247group-gmbh
236,3PW,3pwcommerce.com,Italy,Ecommerce,380,68.7,4581931,954612,14,6,2017,https://it.linkedin.com/company/3pwcommerce
482,Agryco,agryco.com,France,Ecommerce,188.9,42.4,"113,501,470","39,291,030",124,88,2014,
232,Alleop,alleop.bg,Bulgaria,Ecommerce,395.8,70.5,7519406,1516500,28,10,2019,https://cr.linkedin.com/company/careers.alleop.com
653,Arebos,arebos.de,Germany,Ecommerce,125.5,31.1,"83,340,108","36,964,848",31,27,2019,https://cn.linkedin.com/company/canbolat-vertriebsgesellschaft-mbh
